Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-10 11:24:38 UTC	Evo France 2025	ROUND 1	Winners Round 1	2501397	996497	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:24:34 UTC	Evo France 2025	ROUND 1	Winners Round 1	3564471	247423	2	0	N/A	N/A
2025-10-10 11:24:28 UTC	Evo France 2025	ROUND 1	Winners Round 1	4416005	4827700	2	0	N/A	N/A
2025-10-10 11:24:20 UTC	Evo France 2025	ROUND 1	Winners Round 1	2932607	4799838	2	0	N/A	N/A
2025-10-10 11:24:17 UTC	Evo France 2025	ROUND 1	Winners Round 1	133677	638429	2	0	N/A	N/A
2025-10-10 11:24:12 UTC	Evo France 2025	ROUND 1	Winners Round 1	2626576	3233914	2	0	N/A	N/A
2025-10-10 11:24:06 UTC	Evo France 2025	ROUND 1	Winners Round 1	315421	4211311	2	0	N/A	N/A
2025-10-10 10:25:56 UTC	Evo France 2025	ROUND 1	Losers Round 5	2094425	3798662	2	0	N/A	N/A
2025-10-10 10:25:49 UTC	Evo France 2025	ROUND 1	Losers Round 5	1092201	3791457	2	0	N/A	N/A
2025-10-10 10:25:41 UTC	Evo France 2025	ROUND 1	Losers Round 4	2094425	1184583	2	0	N/A	N/A
2025-10-10 10:25:30 UTC	Evo France 2025	ROUND 1	Losers Round 4	1092201	1307021	2	1	N/A	N/A
2025-10-10 10:25:21 UTC	Evo France 2025	ROUND 1	Losers Round 4	3791457	3315821	2	1	N/A	N/A
2025-10-10 10:25:10 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	661056	595400	2	0	N/A	N/A
2025-10-10 10:24:59 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	3581483	349616	2	0	N/A	N/A
2025-10-10 10:24:03 UTC	Evo France 2025	ROUND 1	Losers Round 5	2771040	4126159	2	0	N/A	N/A
2025-10-10 10:23:54 UTC	Evo France 2025	ROUND 1	Losers Round 4	2771040	3495107	2	1	N/A	N/A
2025-10-10 10:23:46 UTC	Evo France 2025	ROUND 1	Losers Round 5	498606	58051	2	0	N/A	N/A
2025-10-10 10:23:29 UTC	Evo France 2025	ROUND 1	Losers Round 4	4126159	4906503	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:23:18 UTC	Evo France 2025	ROUND 1	Losers Round 4	498606	1058123	2	0	N/A	N/A
2025-10-10 10:23:13 UTC	Evo France 2025	ROUND 1	Losers Round 4	58051	1502777	2	0	N/A	N/A
2025-10-10 10:23:01 UTC	Evo France 2025	ROUND 1	Losers Round 3	3495107	4086679	2	0	N/A	N/A
2025-10-10 10:22:54 UTC	Evo France 2025	ROUND 1	Losers Round 3	4906503	232009	2	0	N/A	N/A
2025-10-10 10:22:50 UTC	Evo France 2025	ROUND 1	Losers Round 3	1058123	2768107	2	0	N/A	N/A
2025-10-10 10:22:45 UTC	Evo France 2025	ROUND 1	Losers Round 3	58051	3431618	2	0	N/A	N/A
2025-10-10 10:22:36 UTC	Evo France 2025	ROUND 1	Losers Round 2	4086679	2690276	2	0	N/A	N/A
2025-10-10 10:22:32 UTC	Evo France 2025	ROUND 1	Losers Round 2	3495107	4806056	2	0	N/A	N/A
2025-10-10 10:22:25 UTC	Evo France 2025	ROUND 1	Losers Round 2	232009	180567	W	L	N/A	N/A
2025-10-10 10:22:18 UTC	Evo France 2025	ROUND 1	Losers Round 1	180567	4793401	W	L	N/A	N/A
2025-10-10 10:22:05 UTC	Evo France 2025	ROUND 1	Losers Round 2	4906503	1682920	2	0	N/A	N/A
2025-10-10 10:21:55 UTC	Evo France 2025	ROUND 1	Losers Round 2	1058123	1113849	2	0	N/A	N/A
2025-10-10 10:21:47 UTC	Evo France 2025	ROUND 1	Losers Round 2	2768107	4742492	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:21:41 UTC	Evo France 2025	ROUND 1	Losers Round 2	58051	1438904	2	0	N/A	N/A
2025-10-10 10:21:36 UTC	Evo France 2025	ROUND 1	Losers Round 2	3431618	4788191	2	0	N/A	N/A
2025-10-10 10:21:34 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	370586	2771040	2	0	N/A	N/A
2025-10-10 10:21:31 UTC	Evo France 2025	ROUND 1	Losers Round 1	1438904	2911066	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:21:21 UTC	Evo France 2025	ROUND 1	Losers Round 5	3682970	1862493	2	0	N/A	N/A
2025-10-10 10:21:18 UTC	Evo France 2025	ROUND 1	Losers Round 5	4544962	1620270	2	0	N/A	N/A
2025-10-10 10:21:18 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	370586	1137960	2	0	N/A	N/A
2025-10-10 10:21:12 UTC	Evo France 2025	ROUND 1	Losers Round 4	3682970	864472	2	0	N/A	N/A
2025-10-10 10:21:12 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	295103	3496997	2	1	N/A	N/A
2025-10-10 10:21:06 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	1137960	4126159	2	0	N/A	N/A
2025-10-10 10:21:05 UTC	Evo France 2025	ROUND 1	Losers Round 4	1862493	3750176	2	0	N/A	N/A
2025-10-10 10:20:59 UTC	Evo France 2025	ROUND 1	Losers Round 4	1620270	3555840	2	1	N/A	N/A
2025-10-10 10:20:52 UTC	Evo France 2025	ROUND 1	Losers Round 4	4544962	4170426	2	0	N/A	N/A
2025-10-10 10:20:48 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	3496997	1502777	2	0	N/A	N/A
2025-10-10 10:20:41 UTC	Evo France 2025	ROUND 1	Losers Round 3	3682970	3504212	2	0	N/A	N/A
2025-10-10 10:20:40 UTC	Evo France 2025	ROUND 1	Winners Round 2	4126159	3431618	2	0	N/A	N/A
2025-10-10 10:20:37 UTC	Evo France 2025	ROUND 1	Losers Round 3	1862493	2103419	2	1	N/A	N/A
2025-10-10 10:20:33 UTC	Evo France 2025	ROUND 1	Winners Round 2	1137960	58051	2	1	N/A	N/A
2025-10-10 10:20:32 UTC	Evo France 2025	ROUND 1	Losers Round 3	1620270	4954001	2	0	N/A	N/A
2025-10-10 10:20:25 UTC	Evo France 2025	ROUND 1	Winners Round 2	2771040	2768107	2	1	N/A	N/A
2025-10-10 10:20:23 UTC	Evo France 2025	ROUND 1	Losers Round 2	4909819	4734680	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:20:15 UTC	Evo France 2025	ROUND 1	Losers Round 3	4544962	4909819	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:20:11 UTC	Evo France 2025	ROUND 1	Winners Round 2	370586	1058123	2	0	N/A	N/A
2025-10-10 10:20:05 UTC	Evo France 2025	ROUND 1	Losers Round 2	3504212	557482	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:20:05 UTC	Evo France 2025	ROUND 1	Winners Round 2	1502777	4906503	2	0	N/A	N/A
2025-10-10 10:20:01 UTC	Evo France 2025	ROUND 1	Losers Round 2	3682970	4932294	2	0	N/A	N/A
2025-10-10 10:19:58 UTC	Evo France 2025	ROUND 1	Losers Round 2	1862493	3666091	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:55 UTC	Evo France 2025	ROUND 1	Losers Round 2	2103419	4892503	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:54 UTC	Evo France 2025	ROUND 1	Winners Round 2	3496997	232009	2	1	N/A	N/A
2025-10-10 10:19:50 UTC	Evo France 2025	ROUND 1	Losers Round 2	4954001	4911783	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:45 UTC	Evo France 2025	ROUND 1	Losers Round 2	1620270	4733960	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:37 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	295103	498606	2	0	N/A	N/A
2025-10-10 10:19:35 UTC	Evo France 2025	ROUND 1	Losers Round 2	4544962	4734228	2	0	N/A	N/A
2025-10-10 10:19:32 UTC	Evo France 2025	ROUND 1	Losers Round 1	3666091	4908392	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:24 UTC	Evo France 2025	ROUND 1	Losers Round 1	4734680	4909964	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:20 UTC	Evo France 2025	ROUND 1	Winners Round 2	498606	3495107	2	0	N/A	N/A
2025-10-10 10:19:14 UTC	Evo France 2025	ROUND 1	Winners Round 1	3682970	4909964	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:19:14 UTC	Evo France 2025	ROUND 1	Winners Round 1	4126159	2690276	2	0	N/A	N/A
2025-10-10 10:19:08 UTC	Evo France 2025	ROUND 1	Winners Round 1	1137960	4806056	2	0	N/A	N/A
2025-10-10 10:19:00 UTC	Evo France 2025	ROUND 1	Winners Round 1	2768107	180567	W	L	N/A	N/A
2025-10-10 10:18:50 UTC	Evo France 2025	ROUND 1	Winners Round 1	2771040	4793401	2	0	N/A	N/A
2025-10-10 10:18:40 UTC	Evo France 2025	ROUND 1	Winners Round 1	1058123	1682920	2	0	N/A	N/A
2025-10-10 10:18:34 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	3383512	4172362	2	0	N/A	N/A
2025-10-10 10:18:30 UTC	Evo France 2025	ROUND 1	Winners Round 1	1502777	1113849	2	1	N/A	N/A
2025-10-10 10:18:29 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	4739007	2196829	2	0	N/A	N/A
2025-10-10 10:18:25 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	4172362	3750176	2	0	N/A	N/A
2025-10-10 10:18:23 UTC	Evo France 2025	ROUND 1	Winners Round 1	3496997	4742492	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:18:21 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	3383512	864472	2	0	N/A	N/A
2025-10-10 10:18:17 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	2196829	4170426	2	0	N/A	N/A
2025-10-10 10:18:14 UTC	Evo France 2025	ROUND 1	Winners Round 1	498606	1438904	2	0	N/A	N/A
2025-10-10 10:18:13 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	4739007	3555840	2	1	N/A	N/A
2025-10-10 10:18:06 UTC	Evo France 2025	ROUND 1	Winners Round 2	4172362	4734228	2	0	N/A	N/A
2025-10-10 10:18:04 UTC	Evo France 2025	ROUND 1	Winners Round 1	3495107	2911066	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 10:18:02 UTC	Evo France 2025	ROUND 1	Winners Round 2	3750176	4909819	W (DQ/FF)	L (DQ/FF)	N/A	N/A
