playerId	playerTag	country	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
285691	Gokimudo	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6	5.0	3.0	2.0
320393	Diar	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
337028	Layo	FR	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
357430	Sai		2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
393815	WillyWTF	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
395931	Lord_float	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.7142857142857143	7.0	5.0	2.0
496323	Stealthy	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
549413	Lunchbox	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6	5.0	3.0	2.0
561808	Zeke	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
583701	Wu Tang Dan		2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
738719	ATK	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
878462	ChrisViperZ	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
3280161	Vanntage	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
1106317	Papetplate	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
1242845	DialecticB		2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
1299817	Maxpowers	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
1902433	Jhin	IT	2023-08-06	1522	1522	1500	22	913	-912	True	0.7142857142857143	7.0	5.0	2.0
