date	name	rating	diff_from_last
2023-07-18	KEI.B	1513	28
2023-07-18	ACQUA	1498	26
2023-07-18	あきら	1494	17
2023-07-18	まちゃぼー	1494	-23
2023-07-18	ネモ	1493	17
2023-07-18	カワノ	1484	-16
2023-07-18	じゃじい	1483	-17
2023-07-18	ナウマン	1483	-17
2023-07-18	オニキ	1474	-26
2023-07-18	ふ～ど	1470	-15
2023-07-18	ストーム久保	1456	-28
2023-07-18	もけ	1453	-21
2023-07-18	竹内ジョン	1452	-20
2023-07-14	sako	1543	15
2023-07-14	ときど	1539	23
2023-07-14	ボンちゃん	1539	23
2023-07-14	藤村	1539	15
2023-07-14	ヤマグチ	1528	28
2023-07-14	どぐら	1524	24
2023-07-14	まちゃぼー	1517	17
2023-07-14	ももち	1501	17
2023-07-14	かずのこ	1499	-17
2023-07-14	GO1	1495	26
2023-07-14	KEI.B	1485	-15
2023-07-14	ふ～ど	1485	-15
2023-07-14	板橋ザンギエフ	1483	-17
2023-07-14	あきら	1477	-23
2023-07-14	鶏めし	1477	-23
2023-07-14	マゴ	1476	-24
2023-07-14	もけ	1474	-26
2023-07-14	竹内ジョン	1472	-28
2023-07-07	立川	1531	31
2023-07-07	sako	1528	28
2023-07-07	ひぐち	1524	24
2023-07-07	藤村	1524	24
2023-07-07	Shuto	1516	16
2023-07-07	かずのこ	1516	16
2023-07-07	ときど	1516	16
2023-07-07	ガチくん	1516	16
2023-07-07	ボンちゃん	1516	16
2023-07-07	ぷげら	1484	-16
2023-07-07	ももち	1484	-16
2023-07-07	キチパ	1484	-16
2023-07-07	ストーム久保	1484	-16
2023-07-07	フェンリっち	1484	-16
2023-07-07	ジョニィ	1476	-24
2023-07-07	ネモ	1476	-24
2023-07-07	ACQUA	1472	-28
2023-07-07	GO1	1469	-31
2023-07-01	ACQUA	1500	0
2023-07-01	GO1	1500	0
2023-07-01	KEI.B	1500	0
2023-07-01	Shuto	1500	0
2023-07-01	sako	1500	0
2023-07-01	あきら	1500	0
2023-07-01	かずのこ	1500	0
2023-07-01	じゃじい	1500	0
2023-07-01	ときど	1500	0
2023-07-01	どぐら	1500	0
2023-07-01	ひぐち	1500	0
2023-07-01	ふ～ど	1500	0
2023-07-01	ぷげら	1500	0
2023-07-01	まちゃぼー	1500	0
2023-07-01	もけ	1500	0
2023-07-01	ももち	1500	0
2023-07-01	りゅうせい	1500	0
2023-07-01	オニキ	1500	0
2023-07-01	カワノ	1500	0
2023-07-01	ガチくん	1500	0
2023-07-01	キチパ	1500	0
2023-07-01	ササモ	1500	0
2023-07-01	ジョニィ	1500	0
2023-07-01	ストーム久保	1500	0
2023-07-01	ナウマン	1500	0
2023-07-01	ネモ	1500	0
2023-07-01	フェンリっち	1500	0
2023-07-01	ボンちゃん	1500	0
2023-07-01	マゴ	1500	0
2023-07-01	ヤマグチ	1500	0
2023-07-01	板橋ザンギエフ	1500	0
2023-07-01	水派	1500	0
2023-07-01	立川	1500	0
2023-07-01	竹内ジョン	1500	0
2023-07-01	藤村	1500	0
2023-07-01	鶏めし	1500	0
