playerId	gamerTag	country	countryCode	imageUrl
224697	Caba	Dominican Republic	DO	https://images.start.gg/images/user/137980/image-f418eca515c19aa8eb651c463aef609a.jpg?ehk=HkliGKXK21Pdzo9eiwNCP2%2F74g2WuhJWlMCFrDubXpM%3D&ehkOptimized=GSX4C0ZzICh%2F3cX9%2F%2Fv11hhESLPGcnfV%2BWIOg8ujamk%3D
232824	Bonchan	Japan	JP	https://images.start.gg/images/user/145241/image-7dd537d0962eba32aaea0cf1f4c6f970.jpg?ehk=DRutmdutDqS%2FJZsrnEiXJwjXQXsh2iqueT%2Bdvj39O6w%3D&ehkOptimized=WuXxsd1gu2tk%2BMsgiDteFYJyNGkUnGBLNBGHs6iWogE%3D
2360463	Yamaguchi			
277358	Momochi	Japan	JP	https://images.start.gg/images/user/180164/image-d184efba81f0a479c5ded82c0dd1f466.png?ehk=iekbnIZL87Iy0L7M5C5g%2Ftc4%2Fwu6bxwjAi6QR3dQ0Y8%3D&ehkOptimized=oJS0%2FXV96QchcVQYZ%2FfvEAKDjc2aQ3LjutmQx9Sow0k%3D
327935	TODAKAI	Panama	PA	
266493	Dogura	Japan	JP	https://images.start.gg/images/user/171348/image-e52aa28044db0b09932c600d91ec47a4.jpg?ehk=6qb%2BuKd6UAIc5vymw5y6tkZKGHFwrg%2FE9OadiKIfPNw%3D&ehkOptimized=nbO2jc2Q%2FLmKVHc3Oki7YVcuOw2Za8o0DV1vDJkJZPY%3D
405023	Machabo	Japan	JP	
1257257	Torimeshi	Japan	JP	
632437	Higuchi	Japan	JP	
140787	Samurai	United States	US	https://images.start.gg/images/user/80077/image-7f1077d5f24c2bb9386fa2e0ccc49013.jpg?ehk=pOMqqZFnhNi3pQfB3xwVKV9KW8Bg%2FVB257Qqb9nPyTg%3D&ehkOptimized=W0EASwCicF3sh2RBVxGxTOt7Iab18b8oIUPm1CHmLvU%3D
486860	Shuto	Japan	JP	https://images.start.gg/images/user/284153/image-3756631eb0f067c640e5abf7fea9f672.jpeg?ehk=gICqmTFw%2BnZrbpa7giIY7tmW%2Fo49wcYX%2BgIcG%2FzQNa4%3D&ehkOptimized=Xu2IqFQCEUq8EvPDm368GKM5cnwzsDM%2Fot163shKuW4%3D
266549	GO1	Japan	JP	https://images.start.gg/images/user/171387/image-73c17dbe005ec609a0fed936b52374e7.jpg?ehk=0es3KfoWPoToJwADLIT8p64VVk%2BcgEps1U3pr17Vav8%3D&ehkOptimized=zbEFKe9FOiar8zfHlUmd36GGJwXt5FW7yBTDF1T9Oic%3D
405400	ZJZ	Taiwan	TW	https://images.start.gg/images/user/281698/image-89923ee40f0845452cea419b5391e273.jpeg?ehk=w2CcGmr2ihvrDROZeMbHxkDBMQkQO%2B%2BIAKN%2F1iizMPo%3D&ehkOptimized=foE85mSUATRHiRS%2Fvm6gztbwvMefpVt6tYdmdJyLrpQ%3D
