date	tournament	playerId	playerTag	rating	diff_from_last
2023-08-06	evo-2023	277358	Momochi	1608	17
2023-08-06	evo-2023	395486	moke	1622	9
2023-08-06	evo-2023	486860	Shuto	1576	-9
2023-08-06	evo-2023	232824	Bonchan	1643	9
2023-08-06	evo-2023	140787	Samurai	1576	-9
2023-08-06	evo-2023	2360463	Yamaguchi	1633	9
2023-08-06	evo-2023	266549	GO1	1581	-9
2023-08-06	evo-2023	214100	Oil King	1606	16
2023-08-06	evo-2023	266493	Dogura	1606	-16
2023-08-06	evo-2023	240230	Punk	1638	15
2023-08-06	evo-2023	385095	Nemo	1605	-15
2023-08-06	evo-2023	138008	HAITANI	1630	14
2023-08-06	evo-2023	148527	Tokido	1586	-14
2023-08-06	evo-2023	624333	NASR|AngryBird	1625	10
2023-08-06	evo-2023	616064	Fujimura	1605	-10
2023-08-06	evo-2023	1366617	Kakeru	1633	10
2023-08-06	evo-2023	224650	MenaRD	1618	-10
2023-08-06	evo-2023	395486	moke	1613	14
2023-08-06	evo-2023	139983	SonicFox	1571	-14
2023-08-06	evo-2023	232824	Bonchan	1634	14
2023-08-06	evo-2023	173349	Diaphone	1588	-14
2023-08-06	evo-2023	139983	SonicFox	1585	10
2023-08-06	evo-2023	376274	Reynald	1580	-10
2023-08-06	evo-2023	395486	moke	1599	9
2023-08-06	evo-2023	487424	pugera	1561	-9
2023-08-06	evo-2023	173349	Diaphone	1602	15
2023-08-06	evo-2023	2441054	Ryukichi	1570	-15
2023-08-06	evo-2023	232824	Bonchan	1620	14
2023-08-06	evo-2023	228743	NL	1576	-14
2023-08-06	evo-2023	376274	Reynald	1590	16
2023-08-06	evo-2023	155429	ChrisCCH	1583	-16
2023-08-06	evo-2023	395486	moke	1590	15
2023-08-06	evo-2023	1853361	daikoku	1566	-15
2023-08-06	evo-2023	173349	Diaphone	1587	15
2023-08-06	evo-2023	751061	Ajax Fidelity	1547	-15
2023-08-06	evo-2023	232824	Bonchan	1606	16
2023-08-06	evo-2023	212351	GamerBee	1604	-16
2023-08-06	evo-2023	376274	Reynald	1574	9
2023-08-06	evo-2023	701233	-Zenith	1537	-9
2023-08-06	evo-2023	155429	ChrisCCH	1599	9
2023-08-06	evo-2023	148649	NYChrisG	1546	-9
2023-08-06	evo-2023	872530	COMBO FIEND	1579	-11
2023-08-06	evo-2023	395486	moke	1575	11
2023-08-06	evo-2023	1853361	daikoku	1581	10
2023-08-06	evo-2023	57141	Kizzie Kay	1552	-10
2023-08-06	evo-2023	755025	GentlemanThief	1591	-12
2023-08-06	evo-2023	751061	Ajax Fidelity	1562	12
2023-08-06	evo-2023	173349	Diaphone	1572	10
2023-08-06	evo-2023	660130	KUDO	1540	-10
2023-08-06	evo-2023	232824	Bonchan	1590	15
2023-08-06	evo-2023	1816209	NoahTheProdigy	1567	-15
2023-08-06	evo-2023	212351	GamerBee	1620	13
2023-08-06	evo-2023	134671	1NSiiDE	1547	-13
2023-08-06	evo-2023	624333	NASR|AngryBird	1615	10
2023-08-06	evo-2023	277358	Momochi	1591	-10
2023-08-06	evo-2023	616064	Fujimura	1615	10
2023-08-06	evo-2023	632437	Higuchi	1591	-10
2023-08-06	evo-2023	277358	Momochi	1601	15
2023-08-06	evo-2023	487424	pugera	1570	-15
2023-08-06	evo-2023	624333	NASR|AngryBird	1605	15
2023-08-06	evo-2023	139983	SonicFox	1575	-15
2023-08-06	evo-2023	632437	Higuchi	1601	10
2023-08-06	evo-2023	228743	NL	1590	-10
2023-08-06	evo-2023	616064	Fujimura	1605	10
2023-08-06	evo-2023	2441054	Ryukichi	1585	-10
2023-08-06	evo-2023	405023	Machabo	1625	14
2023-08-06	evo-2023	359546	UMA327	1565	-14
2023-08-06	evo-2023	224697	Caba	1605	10
2023-08-06	evo-2023	3505115	jaccy	1581	-10
2023-08-06	evo-2023	405023	Machabo	1611	9
2023-08-06	evo-2023	172302	DRDANNYPHAM	1561	-9
2023-08-06	evo-2023	135344	Semiij	1582	-17
2023-08-06	evo-2023	359546	UMA327	1579	17
2023-08-06	evo-2023	3505115	jaccy	1591	14
2023-08-06	evo-2023	70855	KUSANAGI	1547	-14
2023-08-06	evo-2023	224697	Caba	1595	16
2023-08-06	evo-2023	184121	FlashMetroid	1595	-16
2023-08-06	evo-2023	405023	Machabo	1602	15
2023-08-06	evo-2023	404377	John Takeuchi	1576	-15
2023-08-06	evo-2023	135344	Semiij	1599	15
2023-08-06	evo-2023	237340	Phenom	1571	-15
2023-08-06	evo-2023	3505115	jaccy	1577	16
2023-08-06	evo-2023	565962	Fenritti	1571	-16
