playerId	playerTag	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
791427	Symbolist	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
1177108	Debaser Ferret	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
36860	DeadMK	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
132190	Yasfer	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
3484617	AYEL	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
891902	Who?	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
2732692	Veradun	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
1882155	Bullish	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
1126676	hellaplus	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
499910	Jackpot	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
175354	Sheldon	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
1044422	Arcblade	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
245126	WEEGEEplus1	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
266022	Marko	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
267991	vpLarusso	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
2140728	PerfectShini	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
1454410	InFamous_	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1649589	AndyLO2	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1638777	Edicius	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1487489	WorldTipper	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1237469	JPZone	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.3333333333333333	3.0	1.0	2.0
1389558	rovi	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1353751	Xerio	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.3333333333333333	3.0	1.0	2.0
1249481	Scrubbs-Vs-You	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1672477	Wifi Ken	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1663959	Icebound	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.3333333333333333	3.0	1.0	2.0
2691731	Tyler Durden	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1714509	Queen	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1724196	Rewkie	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1830525	Opmusic	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	2.0	1.0	1.0
1879183	Enickma	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2011358	PSYQUARIUS	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2040861	Petrafied	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.3333333333333333	3.0	1.0	2.0
2271518	Serazale	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2301738	Ezii	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2310613	Mr. Worldwide	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2552963	IcyFir3902	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1133411	Optymystyc	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1209993	Candidate Earth	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3433708	Ziribeatz	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2741246	Fevrier	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2837894	Norimaking	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1112676	Raw Bear Toe	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3280105	ParkerZazen	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3284673	Minorcase	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3289904	Perseus	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3294011	Samsquonch	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3304277	Keiji1	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3305672	Unireversall	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3312559	JohnnyTeck	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3359874	Crowbear	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3362301	tehdumnick	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	2.0	1.0	1.0
3366253	Fighting Gamer	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3366890	ylemons	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3368222	Zerorevived	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
