Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-05-09 11:34:43 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4503080	4325505	2	1	N/A	N/A
2025-05-09 11:34:40 UTC	EVO Japan 2025	Round1	Winners Round 1	4665518	4669289	2	0	N/A	N/A
2025-05-09 11:34:40 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	1338119	3958007	2	0	N/A	N/A
2025-05-09 11:34:36 UTC	EVO Japan 2025	Round1	Losers Round 3	3958007	150531	2	0	N/A	N/A
2025-05-09 11:34:36 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4534317	4240525	2	1	N/A	N/A
2025-05-09 11:34:31 UTC	EVO Japan 2025	Round1	Losers Round 3	4640978	3922961	2	0	N/A	N/A
2025-05-09 11:34:31 UTC	EVO Japan 2025	Round1	Losers Round 3	4325505	4669175	2	0	N/A	N/A
2025-05-09 11:34:29 UTC	EVO Japan 2025	Round1	Winners Round 1	498685	4654082	2	0	N/A	N/A
2025-05-09 11:34:26 UTC	EVO Japan 2025	Round1	Losers Round 2	4640978	4665600	2	0	N/A	N/A
2025-05-09 11:34:25 UTC	EVO Japan 2025	Round1	Losers Round 3	4534317	3757190	2	0	N/A	N/A
2025-05-09 11:34:24 UTC	EVO Japan 2025	Round1	Winners Round 1	4658648	4731245	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:34:21 UTC	EVO Japan 2025	Round1	Losers Round 2	3922961	4667117	2	0	N/A	N/A
2025-05-09 11:34:19 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1555017	243844	2	0	N/A	N/A
2025-05-09 11:34:18 UTC	EVO Japan 2025	Round1	Losers Round 2	3757190	3937336	2	0	N/A	N/A
2025-05-09 11:34:14 UTC	EVO Japan 2025	Round1	Losers Round 2	150531	4675224	2	0	N/A	N/A
2025-05-09 11:34:13 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3517744	4649994	2	0	N/A	N/A
2025-05-09 11:34:10 UTC	EVO Japan 2025	Round1	Losers Round 2	3958007	4452442	2	0	N/A	N/A
2025-05-09 11:34:07 UTC	EVO Japan 2025	Round1	Losers Semi-Final	551804	1102032	2	0	N/A	N/A
2025-05-09 11:34:06 UTC	EVO Japan 2025	Round1	Losers Semi-Final	1576039	4662572	2	0	N/A	N/A
2025-05-09 11:34:04 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	558326	3619768	2	0	N/A	N/A
2025-05-09 11:34:01 UTC	EVO Japan 2025	Round1	Losers Round 1	4665600	4731162	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:59 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	1102032	3822198	2	1	N/A	N/A
2025-05-09 11:33:59 UTC	EVO Japan 2025	Round1	Losers Round 2	4669175	140787	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:56 UTC	EVO Japan 2025	Round1	Losers Round 1	4675224	4729628	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:55 UTC	EVO Japan 2025	Round1	Losers Round 2	4325505	4343487	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:53 UTC	EVO Japan 2025	Round1	Winners Round 1	1555017	3913818	2	0	N/A	N/A
2025-05-09 11:33:53 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4662572	3926661	2	0	N/A	N/A
2025-05-09 11:33:51 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	551804	4640113	2	1	N/A	N/A
2025-05-09 11:33:50 UTC	EVO Japan 2025	Round1	Losers Round 2	4534317	4731719	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:47 UTC	EVO Japan 2025	Round1	Winners Round 1	3517744	4657737	2	0	N/A	N/A
2025-05-09 11:33:46 UTC	EVO Japan 2025	Round1	Winners Final	331900	4341844	2	0	N/A	N/A
2025-05-09 11:33:43 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	1576039	568688	2	0	N/A	N/A
2025-05-09 11:33:42 UTC	EVO Japan 2025	Round1	Winners Round 1	4649994	4669256	2	1	N/A	N/A
2025-05-09 11:33:40 UTC	EVO Japan 2025	Round1	Losers Round 1	4731719	4729943	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:40 UTC	EVO Japan 2025	Round1	Winners Semi-Final	331900	4198648	2	0	N/A	N/A
2025-05-09 11:33:37 UTC	EVO Japan 2025	Round1	Losers Round 3	1102032	4452362	2	0	N/A	N/A
2025-05-09 11:33:36 UTC	EVO Japan 2025	Round1	Winners Round 1	3619768	4645788	2	1	N/A	N/A
2025-05-09 11:33:33 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4341844	1338119	2	0	N/A	N/A
2025-05-09 11:33:32 UTC	EVO Japan 2025	Round1	Losers Round 3	3926661	4562961	2	1	N/A	N/A
2025-05-09 11:33:30 UTC	EVO Japan 2025	Round1	Losers Round 3	4640113	1314387	2	0	N/A	N/A
2025-05-09 11:33:27 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4198648	4452442	2	0	N/A	N/A
2025-05-09 11:33:22 UTC	EVO Japan 2025	Round1	Losers Round 1	4669175	4731795	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:21 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	331900	150531	2	0	N/A	N/A
2025-05-09 11:33:20 UTC	EVO Japan 2025	Round1	Losers Round 2	4452362	3797828	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:19 UTC	EVO Japan 2025	Round1	Losers Round 3	1576039	4641373	2	0	N/A	N/A
2025-05-09 11:33:17 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1338119	3922961	2	0	N/A	N/A
2025-05-09 11:33:15 UTC	EVO Japan 2025	Round1	Losers Round 2	1314387	4625594	2	1	N/A	N/A
2025-05-09 11:33:15 UTC	EVO Japan 2025	Round1	Losers Semi-Final	2100417	3939429	2	1	N/A	N/A
2025-05-09 11:33:13 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4341844	4640978	2	0	N/A	N/A
2025-05-09 11:33:13 UTC	EVO Japan 2025	Round1	Winners Final	4320111	1661405	2	1	N/A	N/A
2025-05-09 11:33:10 UTC	EVO Japan 2025	Round1	Losers Round 2	4640113	3163953	2	1	N/A	N/A
2025-05-09 11:33:09 UTC	EVO Japan 2025	Round1	Losers Round 2	3926661	3259538	2	0	N/A	N/A
2025-05-09 11:33:09 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4320111	4503080	2	1	N/A	N/A
2025-05-09 11:33:08 UTC	EVO Japan 2025	Round1	Winners Round 1	4198648	4665600	2	0	N/A	N/A
2025-05-09 11:33:07 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	2100417	3941014	2	0	N/A	N/A
2025-05-09 11:33:05 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1661405	4240525	2	1	N/A	N/A
2025-05-09 11:33:03 UTC	EVO Japan 2025	Round1	Losers Round 1	1102032	4731881	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:02 UTC	EVO Japan 2025	Round1	Winners Round 1	4452442	4731162	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:33:01 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	3939429	4321517	2	0	N/A	N/A
2025-05-09 11:33:01 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4320111	3757190	2	0	N/A	N/A
2025-05-09 11:32:58 UTC	EVO Japan 2025	Round1	Losers Round 1	4625594	4668546	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:32:58 UTC	EVO Japan 2025	Round1	Winners Round 1	331900	4667117	2	0	N/A	N/A
2025-05-09 11:32:57 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4503080	4534317	2	0	N/A	N/A
2025-05-09 11:32:56 UTC	EVO Japan 2025	Round1	Losers Round 2	4562961	4643467	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:32:54 UTC	EVO Japan 2025	Round1	Losers Round 3	3941014	4641316	2	0	N/A	N/A
2025-05-09 11:32:53 UTC	EVO Japan 2025	Round1	Winners Round 1	3922961	4675224	2	0	N/A	N/A
2025-05-09 11:32:53 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1661405	4325505	2	0	N/A	N/A
2025-05-09 11:32:51 UTC	EVO Japan 2025	Round1	Losers Semi-Final	4536207	3849754	2	1	N/A	N/A
2025-05-09 11:32:50 UTC	EVO Japan 2025	Round1	Winners Final	616064	4668805	2	1	N/A	N/A
2025-05-09 11:32:50 UTC	EVO Japan 2025	Round1	Losers Round 3	3939429	4662150	2	0	N/A	N/A
2025-05-09 11:32:49 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4240525	140787	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:32:47 UTC	EVO Japan 2025	Round1	Losers Round 2	1576039	4592980	2	0	N/A	N/A
2025-05-09 11:32:46 UTC	EVO Japan 2025	Round1	Winners Round 1	1338119	4729628	W (DQ/FF)	L (DQ/FF)	N/A	N/A
