Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-07-19 21:48:19 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	3757151	141329	2	1	N/A	N/A
2025-07-19 21:46:20 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	1816209	214100	2	0	N/A	N/A
2025-07-19 21:45:37 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	4143648	1791717	2	0	N/A	N/A
2025-07-19 21:43:47 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	148527	2461262	2	1	N/A	N/A
2025-07-19 21:43:23 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	1849364	2957267	2	0	N/A	N/A
2025-07-19 21:39:31 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	3433085	135910	2	1	N/A	N/A
2025-07-19 21:29:17 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	2056200	487424	2	0	N/A	N/A
2025-07-19 21:27:10 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	1791717	370479	2	0	N/A	N/A
2025-07-19 21:19:54 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	2056200	294549	2	0	N/A	N/A
2025-07-19 21:18:45 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	370479	1706282	2	1	N/A	N/A
2025-07-19 21:16:44 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	487424	3562151	2	0	N/A	N/A
2025-07-19 21:14:54 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	3674027	2275003	2	1	N/A	N/A
2025-07-19 21:12:33 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	1791717	364494	2	0	N/A	N/A
2025-07-19 21:12:00 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	314715	309520	2	0	N/A	N/A
2025-07-19 21:08:48 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	3562151	3942067	2	1	N/A	N/A
2025-07-19 21:04:26 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	309520	309738	2	0	N/A	N/A
2025-07-19 21:03:00 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	183027	3602046	2	0	N/A	N/A
2025-07-19 21:01:55 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	2275003	1791717	2	1	N/A	N/A
2025-07-19 21:01:18 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	370479	395559	2	0	N/A	N/A
2025-07-19 21:00:33 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	294549	2513272	2	0	N/A	N/A
2025-07-19 20:59:38 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	314715	751061	2	0	N/A	N/A
2025-07-19 20:59:14 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	3562151	708054	2	1	N/A	N/A
2025-07-19 20:57:49 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	309520	1891878	2	1	N/A	N/A
2025-07-19 20:56:29 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	277358	131806	2	1	N/A	N/A
2025-07-19 20:53:03 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	370479	4166357	2	0	N/A	N/A
2025-07-19 20:52:08 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	751061	314847	2	0	N/A	N/A
2025-07-19 20:50:39 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	294549	618871	2	0	N/A	N/A
2025-07-19 20:50:37 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	2513272	4655652	2	0	N/A	N/A
2025-07-19 20:49:56 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	364494	2116122	2	0	N/A	N/A
2025-07-19 20:49:18 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	708054	4380671	2	0	N/A	N/A
2025-07-19 20:49:08 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	314782	1545059	2	0	N/A	N/A
2025-07-19 20:49:03 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	1891878	1923402	2	0	N/A	N/A
2025-07-19 20:47:51 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	183027	487424	2	0	N/A	N/A
2025-07-19 20:45:26 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	1791717	370479	2	0	N/A	N/A
2025-07-19 20:44:53 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	565873	140787	2	0	N/A	N/A
2025-07-19 20:44:29 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	395559	384418	2	1	N/A	N/A
2025-07-19 20:43:17 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	1545059	4323279	2	0	N/A	N/A
2025-07-19 20:42:04 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	2116122	671755	2	1	N/A	N/A
2025-07-19 20:41:46 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4655652	4853336	2	0	N/A	N/A
2025-07-19 20:40:44 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	487424	294549	2	1	N/A	N/A
2025-07-19 20:40:34 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	3942067	2943201	2	1	N/A	N/A
2025-07-19 20:39:43 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	364494	4655689	2	1	N/A	N/A
2025-07-19 20:39:08 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	3602046	2056200	2	1	N/A	N/A
2025-07-19 20:34:27 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	277358	1545059	2	0	N/A	N/A
2025-07-19 20:34:06 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	1923402	4618709	2	1	N/A	N/A
2025-07-19 20:32:13 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	751061	4861545	2	0	N/A	N/A
2025-07-19 20:30:49 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	3674027	1706282	2	0	N/A	N/A
2025-07-19 20:30:13 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	309520	622660	2	0	N/A	N/A
2025-07-19 20:28:34 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 1	4380671	4333429	2	0	N/A	N/A
2025-07-19 20:28:01 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	314782	174929	2	1	N/A	N/A
2025-07-19 20:27:48 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	314847	4389571	2	0	N/A	N/A
2025-07-19 20:26:38 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	183027	2513272	2	0	N/A	N/A
2025-07-19 20:26:25 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	2275003	395559	2	1	N/A	N/A
2025-07-19 20:26:22 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	4323279	1162926	2	0	N/A	N/A
2025-07-19 20:24:38 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	1706282	364494	2	1	N/A	N/A
2025-07-19 20:23:36 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	140787	314715	2	0	N/A	N/A
2025-07-19 20:22:35 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	622660	4091213	2	0	N/A	N/A
2025-07-19 20:21:30 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	294549	4380671	2	0	N/A	N/A
2025-07-19 20:21:21 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	2943201	533751	2	0	N/A	N/A
2025-07-19 20:20:33 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	4323279	156735	2	1	N/A	N/A
2025-07-19 20:19:32 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	131806	314782	2	1	N/A	N/A
2025-07-19 20:19:00 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	3674027	2116122	2	0	N/A	N/A
2025-07-19 20:18:20 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4389571	1940083	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:17:36 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	174929	180265	2	0	N/A	N/A
2025-07-19 20:16:41 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	3602046	3562151	2	0	N/A	N/A
2025-07-19 20:15:59 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	618871	1073988	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:15:51 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	671755	3030705	2	0	N/A	N/A
2025-07-19 20:15:24 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4861545	4132111	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:15:17 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 1	4861545	2002326	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:13:20 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	565873	309738	2	0	N/A	N/A
2025-07-19 20:12:51 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	180265	2742975	2	0	N/A	N/A
2025-07-19 20:12:37 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	2513272	533751	2	0	N/A	N/A
2025-07-19 20:11:04 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	174929	3801448	2	0	N/A	N/A
2025-07-19 20:10:38 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	314715	1891878	2	1	N/A	N/A
2025-07-19 20:09:31 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	1162926	4654151	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:08:22 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	131806	1162926	2	0	N/A	N/A
2025-07-19 20:07:06 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	3562151	1073988	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:06:53 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	309738	751061	2	1	N/A	N/A
2025-07-19 20:05:32 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	2742975	681386	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:05:26 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	2056200	3942067	2	0	N/A	N/A
2025-07-19 20:05:21 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	384418	413271	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:04:06 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 1	384418	4167171	2	0	N/A	N/A
2025-07-19 20:03:51 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	314782	4323279	2	0	N/A	N/A
2025-07-19 20:03:42 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4655689	2281630	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:02:23 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	3801448	1928867	2	1	N/A	N/A
2025-07-19 20:02:22 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4166357	2972996	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 20:01:39 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	140787	309520	2	0	N/A	N/A
2025-07-19 20:00:05 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	277358	180265	2	0	N/A	N/A
2025-07-19 19:59:58 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	565873	314847	2	0	N/A	N/A
2025-07-19 19:59:42 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	314715	4389571	2	0	N/A	N/A
2025-07-19 19:58:24 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	1791717	4655689	2	0	N/A	N/A
2025-07-19 19:57:54 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	4654151	2312283	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:57:35 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	1162926	681386	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:56:45 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	751061	622660	2	0	N/A	N/A
2025-07-19 19:55:01 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 2	156735	4205279	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:54:59 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	309520	2002326	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:54:04 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	2116122	413271	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:53:42 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	183027	2943201	2	0	N/A	N/A
2025-07-19 19:53:40 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	1545059	174929	2	0	N/A	N/A
2025-07-19 19:53:10 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	1891878	1940083	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:53:01 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	3942067	4853336	2	0	N/A	N/A
2025-07-19 19:52:52 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	277358	4654151	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:52:35 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 1	3801448	3519429	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:52:14 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	309738	4091213	2	0	N/A	N/A
2025-07-19 19:49:13 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	314847	1923402	2	0	N/A	N/A
2025-07-19 19:49:06 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	2056200	4655652	2	0	N/A	N/A
2025-07-19 19:48:26 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	140787	4132111	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:48:10 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	4323279	3801448	2	0	N/A	N/A
2025-07-19 19:47:33 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	395559	671755	2	1	N/A	N/A
2025-07-19 19:46:23 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	487424	708054	2	0	N/A	N/A
2025-07-19 19:45:34 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	3602046	618871	2	0	N/A	N/A
2025-07-19 19:43:35 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 1	4655689	4167171	2	0	N/A	N/A
2025-07-19 19:42:32 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	1706282	2972996	W (DQ/FF)	L (DQ/FF)	N/A	N/A
