Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-31 08:02:55 UTC	Fightclub Championship	Pools	Winners Final	4625088	5028416	2	1	N/A	N/A
2025-10-31 08:02:53 UTC	Fightclub Championship	Pools	Losers Round 4	5011204	5011242	2	0	N/A	N/A
2025-10-31 07:58:39 UTC	Fightclub Championship	Pools	Losers Quarter-Final	3565690	5024090	2	1	N/A	N/A
2025-10-31 07:57:54 UTC	Fightclub Championship	Pools	Winners Round 2	5024109	5024190	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:57:46 UTC	Fightclub Championship	Pools	Winners Round 1	5011187	5011178	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:57:32 UTC	Fightclub Championship	Pools	Losers Semi-Final	4227231	5024115	2	0	N/A	N/A
2025-10-31 07:57:28 UTC	Fightclub Championship	Pools	Losers Round 3	5024105	4987640	2	0	N/A	N/A
2025-10-31 07:56:47 UTC	Fightclub Championship	Pools	Winners Final	157225	894065	2	0	N/A	N/A
2025-10-31 07:56:18 UTC	Fightclub Championship	Pools	Losers Round 3	5028421	5024156	2	1	N/A	N/A
2025-10-31 07:55:56 UTC	Fightclub Championship	Pools	Losers Round 3	5011242	5024082	2	0	N/A	N/A
2025-10-31 07:54:05 UTC	Fightclub Championship	Pools	Losers Round 3	5011204	4987725	2	0	N/A	N/A
2025-10-31 07:50:16 UTC	Fightclub Championship	Pools	Winners Semi-Final	633048	2044559	2	1	N/A	N/A
2025-10-31 07:49:08 UTC	Fightclub Championship	Pools	Losers Quarter-Final	4227231	5024106	2	1	N/A	N/A
2025-10-31 07:48:10 UTC	Fightclub Championship	Pools	Losers Round 2	5011204	4987766	2	0	N/A	N/A
2025-10-31 07:47:47 UTC	Fightclub Championship	Pools	Losers Round 4	5024090	5024130	2	0	N/A	N/A
2025-10-31 07:45:58 UTC	Fightclub Championship	Pools	Losers Round 2	5011242	5011183	2	0	N/A	N/A
2025-10-31 07:45:42 UTC	Fightclub Championship	Pools	Winners Semi-Final	557482	5024077	2	0	N/A	N/A
2025-10-31 07:44:34 UTC	Fightclub Championship	Pools	Losers Semi-Final	5024060	5011210	2	1	N/A	N/A
2025-10-31 07:44:16 UTC	Fightclub Championship	Pools	Losers Semi-Final	385608	3933259	2	0	N/A	N/A
2025-10-31 07:42:49 UTC	Fightclub Championship	Pools	Winners Quarter-Final	633048	5024105	2	0	N/A	N/A
2025-10-31 07:41:16 UTC	Fightclub Championship	Pools	Winners Final	148527	5024096	2	0	N/A	N/A
2025-10-31 07:40:32 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5024057	5011162	2	1	N/A	N/A
2025-10-31 07:39:55 UTC	Fightclub Championship	Pools	Losers Round 3	5024130	4987671	2	1	N/A	N/A
