Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars	RateDiff
2025-05-09 13:21:16 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4665682	4453605	2	1			10
2025-05-09 13:21:13 UTC	EVO Japan 2025	Round1	Losers Round 2	4452537	4595037	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:13 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4240494	4458091	2	0			17
2025-05-09 13:21:11 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3979040	4640916	2	1			11
2025-05-09 13:21:09 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1556309	4452338	2	0			15
2025-05-09 13:21:08 UTC	EVO Japan 2025	Round1	Losers Semi-Final	4405278	1785552	2	0			16
2025-05-09 13:21:05 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3433072	4668504	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:05 UTC	EVO Japan 2025	Round1	Winners Final	385608	566606	2	0			10
2025-05-09 13:21:05 UTC	EVO Japan 2025	Round1	Losers Round 3	4661627	2468659	2	0			16
2025-05-09 13:21:04 UTC	EVO Japan 2025	Round1	Winners Round 1	4382439	4500961	2	0			14
2025-05-09 13:21:03 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4405278	1557493	2	1			10
2025-05-09 13:21:01 UTC	EVO Japan 2025	Round1	Losers Round 2	4666967	1574489	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:01 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	148458	3954698	2	1			9
2025-05-09 13:21:01 UTC	EVO Japan 2025	Round1	Winners Semi-Final	566606	3962489	2	1			11
2025-05-09 13:20:59 UTC	EVO Japan 2025	Round1	Winners Round 1	4671004	4729566	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:20:57 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	1785552	3950307	2	1			10
2025-05-09 13:20:57 UTC	EVO Japan 2025	Round1	Winners Round 1	4458091	4023670	2	0			15
2025-05-09 13:20:56 UTC	EVO Japan 2025	Round1	Winners Semi-Final	385608	4663655	2	0			10
2025-05-09 13:20:55 UTC	EVO Japan 2025	Round1	Winners Round 1	4534488	4638422	2	1			10
2025-05-09 13:20:55 UTC	EVO Japan 2025	Round1	Losers Round 1	3929585	4731886	W (DQ/FF)	L (DQ/FF)			9
2025-05-09 13:20:53 UTC	EVO Japan 2025	Round1	Winners Round 1	4240494	4731661	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:52 UTC	EVO Japan 2025	Round1	Losers Round 3	1557493	4526302	2	0			15
2025-05-09 13:20:51 UTC	EVO Japan 2025	Round1	Losers Round 1	4452537	4731745	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:49 UTC	EVO Japan 2025	Round1	Winners Round 1	4453605	4731182	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:49 UTC	EVO Japan 2025	Round1	Winners Round 1	1556309	4514541	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:49 UTC	EVO Japan 2025	Round1	Losers Round 3	3836612	4668118	2	0			16
2025-05-09 13:20:48 UTC	EVO Japan 2025	Round1	Losers Round 3	1785552	4563146	2	1			10
2025-05-09 13:20:48 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	566606	4603211	2	0			15
2025-05-09 13:20:47 UTC	EVO Japan 2025	Round1	Winners Final	3568758	3275553	2	0			13
2025-05-09 13:20:45 UTC	EVO Japan 2025	Round1	Winners Round 1	3433072	4513294	2	0			15
2025-05-09 13:20:44 UTC	EVO Japan 2025	Round1	Losers Semi-Final	556422	4674524	2	0			16
2025-05-09 13:20:44 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3962489	4675918	2	1			11
2025-05-09 13:20:43 UTC	EVO Japan 2025	Round1	Winners Round 1	4665682	4731147	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:40 UTC	EVO Japan 2025	Round1	Losers Round 2	4526302	4462733	2	1			10
2025-05-09 13:20:40 UTC	EVO Japan 2025	Round1	Winners Round 1	4668504	4729638	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:40 UTC	EVO Japan 2025	Round1	Winners Round 1	4638293	1114708	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:38 UTC	EVO Japan 2025	Round1	Winners Round 1	4640916	3847746	2	0			13
2025-05-09 13:20:37 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4663655	4652308	2	0			16
2025-05-09 13:20:37 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4674524	3290157	2	1			10
2025-05-09 13:20:37 UTC	EVO Japan 2025	Round1	Losers Round 2	2468659	3971367	2	0			16
2025-05-09 13:20:35 UTC	EVO Japan 2025	Round1	Losers Round 2	1557493	3390576	2	1			10
2025-05-09 13:20:35 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3275553	1482324	2	0			16
2025-05-09 13:20:35 UTC	EVO Japan 2025	Round1	Winners Round 1	3954698	3957905	2	0			14
2025-05-09 13:20:34 UTC	EVO Japan 2025	Round1	Winners Round 1	4475655	4488250	2	0			15
2025-05-09 13:20:30 UTC	EVO Japan 2025	Round1	Losers Round 2	1785552	4638228	2	0			15
2025-05-09 13:20:30 UTC	EVO Japan 2025	Round1	Winners Round 1	4663734	4731283	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:20:29 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	556422	315529	2	1			10
2025-05-09 13:20:24 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	752352	4276436	2	0			14
2025-05-09 13:20:23 UTC	EVO Japan 2025	Round1	Losers Round 2	4563146	3959948	2	0			15
2025-05-09 13:20:21 UTC	EVO Japan 2025	Round1	Winners Round 1	4276436	4451879	2	1			10
2025-05-09 13:20:16 UTC	EVO Japan 2025	Round1	Losers Round 3	3290157	4193781	2	0			15
2025-05-09 13:20:15 UTC	EVO Japan 2025	Round1	Losers Round 1	4526302	4729860	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:20:13 UTC	EVO Japan 2025	Round1	Losers Round 2	4661627	3755324	2	0			15
2025-05-09 13:20:10 UTC	EVO Japan 2025	Round1	Losers Round 1	1785552	4616013	2	0			14
2025-05-09 13:20:10 UTC	EVO Japan 2025	Round1	Losers Round 3	556422	4209167	2	0			15
2025-05-09 13:20:04 UTC	EVO Japan 2025	Round1	Winners Final	3933256	4563167	2	0			15
2025-05-09 13:20:04 UTC	EVO Japan 2025	Round1	Losers Round 2	3290157	3742422	2	1			10
2025-05-09 13:20:00 UTC	EVO Japan 2025	Round1	Losers Semi-Final	4570609	4534472	2	0			15
2025-05-09 13:19:59 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4563167	3950307	2	0			16
2025-05-09 13:19:59 UTC	EVO Japan 2025	Round1	Losers Round 2	4668118	1585687	2	1			10
2025-05-09 13:19:58 UTC	EVO Japan 2025	Round1	Losers Semi-Final	3778023	3766247	2	0			14
2025-05-09 13:19:55 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4570609	4333126	2	0			14
2025-05-09 13:19:54 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3933256	4405278	2	1			10
2025-05-09 13:19:54 UTC	EVO Japan 2025	Round1	Losers Round 2	4193781	4654773	2	0			16
2025-05-09 13:19:50 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4534472	4452320	2	0			16
2025-05-09 13:19:49 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4405278	4563146	2	1			10
2025-05-09 13:19:49 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	3778023	3768176	2	0			13
2025-05-09 13:19:48 UTC	EVO Japan 2025	Round1	Losers Round 2	556422	4729564	W (DQ/FF)	L (DQ/FF)			9
2025-05-09 13:19:46 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3568758	4661991	2	0			13
2025-05-09 13:19:45 UTC	EVO Japan 2025	Round1	Losers Round 2	3836612	3195988	2	0			15
2025-05-09 13:19:44 UTC	EVO Japan 2025	Round1	Losers Round 3	4570609	4529076	2	0			14
